# L=10, T=3.25 
# E      M        E^2        M^2
-76.0    22.0     5776.0     484.0
-40.0    -8.0     1600.0     64.0
-56.0    -6.0     3136.0     36.0
-80.0    6.0     6400.0     36.0
-80.0    20.0     6400.0     400.0
-64.0    18.0     4096.0     324.0
-76.0    22.0     5776.0     484.0
-76.0    22.0     5776.0     484.0
-56.0    0.0     3136.0     0.0
-80.0    -20.0     6400.0     400.0
-72.0    -28.0     5184.0     784.0
-60.0    -8.0     3600.0     64.0
-48.0    -4.0     2304.0     16.0
-48.0    -8.0     2304.0     64.0
-64.0    -6.0     4096.0     36.0
-72.0    -28.0     5184.0     784.0
-80.0    0.0     6400.0     0.0
-72.0    22.0     5184.0     484.0
-104.0    48.0     10816.0     2304.0
-76.0    20.0     5776.0     400.0
-64.0    10.0     4096.0     100.0
-68.0    16.0     4624.0     256.0
-96.0    30.0     9216.0     900.0
-84.0    20.0     7056.0     400.0
-80.0    8.0     6400.0     64.0
-80.0    -4.0     6400.0     16.0
-48.0    -24.0     2304.0     576.0
-80.0    -34.0     6400.0     1156.0
-88.0    -30.0     7744.0     900.0
-72.0    -36.0     5184.0     1296.0
-80.0    -24.0     6400.0     576.0
-52.0    -14.0     2704.0     196.0
-36.0    -10.0     1296.0     100.0
-76.0    0.0     5776.0     0.0
-72.0    -2.0     5184.0     4.0
-84.0    10.0     7056.0     100.0
-88.0    -22.0     7744.0     484.0
-72.0    4.0     5184.0     16.0
-84.0    -20.0     7056.0     400.0
-88.0    -30.0     7744.0     900.0
-88.0    -32.0     7744.0     1024.0
-64.0    -34.0     4096.0     1156.0
-84.0    -38.0     7056.0     1444.0
-84.0    -50.0     7056.0     2500.0
-112.0    -60.0     12544.0     3600.0
-84.0    -46.0     7056.0     2116.0
-88.0    -34.0     7744.0     1156.0
-84.0    -48.0     7056.0     2304.0
-104.0    -44.0     10816.0     1936.0
-104.0    -54.0     10816.0     2916.0
-76.0    -46.0     5776.0     2116.0
-76.0    -36.0     5776.0     1296.0
-68.0    -40.0     4624.0     1600.0
-68.0    -36.0     4624.0     1296.0
-96.0    -50.0     9216.0     2500.0
-116.0    -60.0     13456.0     3600.0
-84.0    -52.0     7056.0     2704.0
-92.0    -52.0     8464.0     2704.0
-76.0    -50.0     5776.0     2500.0
-84.0    -52.0     7056.0     2704.0
-76.0    -46.0     5776.0     2116.0
-104.0    -56.0     10816.0     3136.0
-80.0    -46.0     6400.0     2116.0
-76.0    -20.0     5776.0     400.0
-68.0    8.0     4624.0     64.0
-80.0    8.0     6400.0     64.0
-60.0    14.0     3600.0     196.0
-52.0    0.0     2704.0     0.0
-88.0    20.0     7744.0     400.0
-72.0    16.0     5184.0     256.0
-68.0    28.0     4624.0     784.0
-80.0    22.0     6400.0     484.0
-64.0    36.0     4096.0     1296.0
-72.0    26.0     5184.0     676.0
-84.0    46.0     7056.0     2116.0
-76.0    34.0     5776.0     1156.0
-72.0    14.0     5184.0     196.0
-64.0    10.0     4096.0     100.0
-72.0    2.0     5184.0     4.0
-72.0    -18.0     5184.0     324.0
-88.0    -24.0     7744.0     576.0
-52.0    -6.0     2704.0     36.0
-48.0    2.0     2304.0     4.0
-80.0    16.0     6400.0     256.0
-76.0    18.0     5776.0     324.0
-52.0    18.0     2704.0     324.0
-56.0    24.0     3136.0     576.0
-48.0    12.0     2304.0     144.0
-64.0    22.0     4096.0     484.0
-60.0    22.0     3600.0     484.0
-76.0    44.0     5776.0     1936.0
-80.0    42.0     6400.0     1764.0
-56.0    20.0     3136.0     400.0
-60.0    20.0     3600.0     400.0
-88.0    48.0     7744.0     2304.0
-88.0    38.0     7744.0     1444.0
