# L=4, T=4.0 
# E      M        E^2        M^2
-10.4    -4.2     192.0     75.6
-8.8    -2.4     102.4     44.0
-9.6    3.0     169.6     74.8
-5.2    1.4     65.6     37.2
-10.0    2.6     116.8     58.0
-10.0    -4.2     142.4     67.6
-6.8    0.4     97.6     44.0
-11.6    -2.6     148.8     62.8
-12.8    4.6     195.2     95.6
-12.0    5.8     192.0     82.0
-13.2    -0.8     289.6     96.8
-9.6    -0.2     140.8     57.2
-8.4    -2.4     100.8     43.2
-10.4    -6.0     147.2     64.0
-9.6    0.8     160.0     63.2
-10.4    -5.6     150.4     70.4
-10.4    -3.4     179.2     57.2
-10.0    -2.8     152.0     57.6
-6.4    0.2     54.4     13.2
-10.0    1.6     171.2     58.4
-9.6    -1.0     182.4     70.8
-13.6    7.8     291.2     102.0
-4.0    -0.4     35.2     17.6
-8.8    -4.2     131.2     55.6
-10.0    0.0     190.4     63.2
-11.2    3.0     153.6     62.8
-5.6    2.4     57.6     17.6
-11.6    6.4     168.0     76.8
-12.4    0.8     190.4     80.0
-5.6    2.6     48.0     21.2
-8.4    1.2     152.0     54.4
-9.2    1.4     152.0     54.0
-8.8    1.2     185.6     85.6
-7.2    -1.4     99.2     40.4
-13.6    -5.4     252.8     98.8
-8.8    1.0     118.4     62.8
-8.4    -0.6     107.2     34.0
-6.0    -5.6     97.6     54.4
-6.8    3.4     91.2     47.6
-8.0    -2.2     105.6     39.6
-12.0    3.0     227.2     81.2
-4.4    0.6     59.2     28.4
-11.2    -1.6     198.4     68.0
-7.2    4.2     115.2     56.4
-6.0    -0.8     104.0     43.2
-9.6    0.4     102.4     36.0
-7.6    0.8     113.6     60.0
-10.8    -5.2     180.8     84.0
-7.2    -1.0     60.8     46.0
-9.6    -3.2     163.2     64.0
-13.2    4.2     228.8     88.4
-8.0    -2.8     86.4     41.6
-9.2    0.0     139.2     58.4
-9.6    -1.0     144.0     58.8
-12.0    0.2     249.6     94.8
-8.0    2.2     89.6     32.4
-9.2    3.6     142.4     58.4
-17.6    5.4     371.2     133.2
-9.6    -1.0     115.2     55.6
-10.0    -1.4     168.0     69.2
-4.8    0.4     57.6     27.2
-16.4    -0.4     350.4     112.0
-8.8    2.4     124.8     42.4
-7.6    0.4     113.6     60.8
-10.8    -3.8     203.2     82.8
-8.4    -5.4     107.2     50.0
-9.6    -2.4     115.2     63.2
-4.4    0.2     52.8     42.0
-9.2    -1.0     116.8     45.2
-8.4    0.6     155.2     61.2
-6.4    2.8     99.2     33.6
-7.2    0.8     83.2     29.6
-10.0    -3.2     132.8     60.8
-15.2    2.6     294.4     99.6
-5.6    2.0     70.4     34.4
-10.4    -2.6     160.0     59.6
-4.8    0.0     32.0     16.8
-6.0    0.2     68.8     25.2
-11.6    -3.4     190.4     80.4
-7.6    -0.8     104.0     40.8
-9.6    -2.6     211.2     67.6
-8.8    -3.4     99.2     52.4
-12.4    -1.4     228.8     74.0
-8.4    3.6     84.8     40.8
-8.0    4.8     134.4     56.0
-13.6    1.8     284.8     106.8
-6.4    4.6     108.8     51.6
-12.4    -2.0     209.6     79.2
-12.8    -0.2     227.2     82.0
-8.8    0.0     131.2     62.4
-12.0    1.2     227.2     84.0
-14.0    0.0     260.8     84.0
-9.2    -1.8     120.0     50.0
-11.6    -4.8     212.8     80.8
-10.8    -2.4     193.6     76.8
-12.0    0.8     182.4     61.6
-12.4    -2.4     184.0     82.4
-9.6    0.2     128.0     72.4
-8.0    4.8     108.8     53.6
-11.2    4.0     169.6     61.6
-9.2    -1.8     104.0     42.8
-9.2    2.6     142.4     54.8
-9.2    -0.6     155.2     56.4
-12.0    2.2     176.0     70.0
-14.4    -4.6     278.4     106.8
-6.0    3.0     139.2     44.4
-18.8    3.2     436.8     138.4
-10.4    0.8     144.0     56.0
-7.6    2.2     91.2     28.4
-12.4    -1.8     212.8     95.6
-13.6    3.4     249.6     81.2
-7.6    5.0     91.2     50.0
-11.6    3.0     174.4     66.8
-10.0    2.8     203.2     70.4
-10.8    1.8     171.2     63.6
-8.0    -2.0     105.6     53.6
-14.0    1.4     228.8     83.6
-10.4    -2.4     153.6     67.2
-8.0    0.0     96.0     41.6
-12.8    -2.4     240.0     63.2
-10.0    0.2     123.2     52.4
-12.4    0.8     164.8     88.0
-5.2    4.0     94.4     44.0
-12.0    -3.0     220.8     78.8
-5.2    0.6     72.0     32.4
-15.2    -2.4     368.0     108.0
-7.2    2.4     96.0     45.6
-11.2    -1.2     185.6     80.8
-10.8    0.4     184.0     52.0
-6.4    0.2     89.6     34.0
-6.0    -0.6     68.8     39.6
-10.4    -2.4     172.8     72.8
-8.8    -4.2     153.6     54.0
-7.6    0.4     88.0     39.2
-8.4    -0.6     91.2     41.2
-9.6    -0.2     176.0     48.4
-7.6    0.0     126.4     54.4
-6.4    1.4     92.8     41.2
-11.2    3.4     137.6     62.8
-12.0    -5.2     179.2     80.0
-8.8    -2.0     118.4     52.0
-8.4    -2.2     113.6     42.8
-9.2    -0.6     180.8     57.2
-6.8    -3.0     84.8     54.8
-10.8    -1.2     200.0     70.4
-8.4    -0.8     120.0     48.0
-14.0    4.8     276.8     89.6
-12.4    1.0     203.2     79.6
-12.8    2.2     204.8     82.8
-14.4    -0.2     243.2     90.8
-8.0    -2.4     156.8     47.2
-14.4    -0.8     368.0     110.4
-12.0    1.4     182.4     78.0
-8.0    -1.2     121.6     56.8
-10.8    0.2     164.8     68.4
-6.8    -0.6     56.0     26.8
-11.6    4.0     187.2     72.0
-7.6    0.6     107.2     46.8
-13.6    -2.0     220.8     88.8
-10.8    1.0     209.6     63.6
-9.6    -0.2     134.4     45.2
-13.2    3.4     235.2     96.4
-6.0    0.2     59.2     38.0
-7.2    0.4     64.0     44.0
-7.2    -0.4     96.0     21.6
-10.0    1.2     139.2     60.0
-7.6    -2.0     158.4     49.6
-12.8    2.4     198.4     85.6
-11.2    -0.2     236.8     78.0
-8.4    0.0     97.6     44.8
-14.4    4.2     268.8     110.0
-8.8    0.8     92.8     45.6
-8.0    -4.8     92.8     44.0
-5.6    -4.2     60.8     46.0
-7.2    0.6     57.6     29.2
-12.8    5.6     204.8     88.0
-15.2    -1.2     329.6     92.8
-20.0    2.6     441.6     155.6
-8.0    0.8     115.2     41.6
-6.4    2.4     57.6     33.6
-9.6    -1.8     131.2     61.2
-11.6    -0.6     228.8     90.0
-14.4    -1.8     265.6     90.0
-8.4    -1.4     97.6     53.2
-10.4    -3.6     163.2     62.4
-6.8    0.4     78.4     54.4
-10.4    -2.2     128.0     58.0
-13.6    -4.2     252.8     82.8
-12.0    0.0     163.2     62.4
-9.2    2.0     155.2     66.4
-10.0    0.4     155.2     60.8
-8.8    -0.2     96.0     50.0
-8.0    -0.8     99.2     53.6
-6.0    0.4     100.8     38.4
-10.4    -1.6     134.4     50.4
-10.4    1.6     131.2     48.8
-10.0    1.2     158.4     60.8
-8.8    5.2     144.0     56.8
-10.4    -3.0     153.6     59.6
-10.4    -1.2     160.0     65.6
-8.4    2.4     152.0     58.4
-10.0    -2.2     174.4     62.8
-10.0    -3.0     123.2     72.4
-6.4    -3.0     92.8     41.2
-8.8    0.4     99.2     39.2
-13.2    -0.8     203.2     85.6
-10.4    -0.4     131.2     47.2
-7.6    -0.6     68.8     34.0
-8.8    1.8     134.4     62.0
-12.0    1.4     288.0     95.6
-10.8    0.6     187.2     73.2
-10.4    -3.2     204.8     92.8
-16.0    3.8     387.2     126.0
-8.0    0.0     112.0     53.6
-9.2    -1.0     110.4     51.6
-10.4    -3.4     163.2     67.6
