# L=10, T=3.75 
# E      M        E^2        M^2
-59.36    -2.18     3846.4     603.8
-56.72    1.72     3425.28     360.08
-63.16    0.52     4289.76     559.36
-60.36    2.16     3954.4     462.32
-59.76    -1.56     3856.96     467.68
-60.48    1.1     3971.2     525.08
-59.4    -0.3     3759.52     472.68
-58.84    2.14     3701.92     445.48
-62.08    2.5     4267.84     510.68
-58.88    -0.44     3754.88     495.36
-61.08    0.54     3952.48     401.48
-59.76    1.52     3818.56     382.0
-63.0    -1.5     4234.72     594.6
-59.08    -1.36     3786.72     462.32
-62.24    -2.18     4184.0     659.24
-59.56    1.7     3772.0     487.24
-61.24    -0.34     4057.12     656.2
-62.8    0.36     4183.36     503.2
-56.72    3.34     3490.56     451.32
-56.88    1.38     3444.16     393.72
-61.16    0.04     4018.4     414.56
-58.8    -2.3     3702.72     577.64
-61.0    -0.68     3952.48     497.52
-62.44    1.38     4137.12     473.64
-58.56    -0.56     3699.52     410.48
-60.96    0.46     4010.24     553.8
-59.4    -0.46     3813.28     409.16
-59.0    -1.14     3777.12     546.2
-64.2    1.04     4369.44     494.96
-63.56    -0.64     4350.24     578.56
-59.32    0.7     3818.72     497.08
-57.84    2.76     3697.92     473.36
-59.6    -4.18     3821.76     389.8
-57.96    2.42     3667.36     386.2
-62.0    -1.08     4167.36     581.36
-57.92    -1.12     3563.84     507.28
-59.96    -2.18     3876.64     599.64
-63.2    -0.42     4296.32     644.2
-57.92    -0.38     3616.96     350.84
-58.72    -0.56     3702.08     447.36
-64.48    -0.02     4488.96     503.08
-57.88    2.46     3660.32     417.96
-60.28    1.06     3953.44     438.68
-60.84    -3.34     3970.08     487.96
-61.04    -2.44     4013.12     634.0
-63.64    -0.56     4362.4     483.52
-59.6    3.64     3799.36     508.32
-59.88    2.0     3884.0     505.04
-59.72    -1.6     3820.0     563.36
-59.88    -2.62     3908.32     537.64
-57.08    4.24     3548.64     531.92
-60.68    -1.44     3954.72     470.08
-60.64    -3.62     3897.6     443.8
-60.16    0.22     3928.64     578.6
-61.48    -1.76     4096.8     598.96
-62.92    -1.2     4222.24     631.44
-61.16    -0.36     4037.28     597.04
-63.44    5.66     4308.8     623.56
-60.16    1.74     3841.92     432.92
-62.08    2.66     4152.64     538.52
-61.36    -3.36     4053.44     577.52
-60.2    5.06     3903.2     424.92
-57.88    2.42     3558.56     497.88
-61.52    -1.82     4071.04     527.64
-60.04    -2.82     3861.28     570.12
-64.64    3.52     4500.48     582.0
-62.88    -3.42     4218.56     508.52
-62.08    3.8     4156.48     552.0
-61.72    -2.52     4138.4     494.72
-58.28    2.18     3741.28     611.32
-62.2    2.02     4147.36     488.36
-62.44    0.84     4214.56     551.84
-60.56    3.54     4039.68     497.4
